lncRNA,miRNA,Score,Interaction
TGDS,SRSF7,0.0,0
hsa-miR-449a,PRR13,0.0,0
hsa-mir-140-3p,DDX39B,0.0,0
hsa-miR-211-3p,42253,0.0,0
hsa-miR-199b-5p,AC034102.1,0.0,0
hsa-miR-493-5p,MIR3142HG,0.0,0
hsa-mir-6807,ZFAND2A,0.0,0
NONHSAG020010,AHSA1,0.0,0
CTC-428G20.3,POGLUT1,0.0,0
hsa-miR-23c,PSMA6,0.0,0
RP11-334C17.5,hsa-miR-184,0.0,0
RP11-819C21.1,CTB-50L17.5,0.0,0
SAP30L-AS1,BRI3,0.0,0
AKT2,RP11-819C21.1,0.0,0
RP11-383C5.5,miR-154-5p,0.0,0
UBP1,hsa-miR-455-3p,0.0,0
NONHSAG003507,NPM1,0.0,0
AL021977.1,MAP1LC3B,0.0,0
NONHSAG004065,ELOVL5,0.0,0
RP11-495O10.1,NONHSAG033553,0.0,0
